,Review,Subtheme_1,Sentiment_1,Subtheme_2,Sentiment_2,Subtheme_3,Sentiment_3,Subtheme_4,Sentiment_4,Subtheme_5,Sentiment_5,Subtheme_6,Sentiment_6,Subtheme_7,Sentiment_7,Subtheme_8,Sentiment_8,Subtheme_9,Sentiment_9,Subtheme_10,Sentiment_10,Subtheme_11,Sentiment_11,Subtheme_12,Sentiment_12,Subtheme_13,Sentiment_13,Subtheme_14,Sentiment_14,Subtheme_15,Sentiment_15,Subtheme_16,Sentiment_16,Subtheme_17,Sentiment_17,Subtheme_18,Sentiment_18,Subtheme_19,Sentiment_19,Subtheme_20,Sentiment_20,Subtheme_21,Sentiment_21,Subtheme_22,Sentiment_22,Subtheme_23,Sentiment_23,Subtheme_24,Sentiment_24,Subtheme_25,Sentiment_25,Subtheme_26,Sentiment_26,Subtheme_27,Sentiment_27,Subtheme_28,Sentiment_28,Subtheme_29,Sentiment_29,Subtheme_30,Sentiment_30
2747,Cheapest price online for the tyres needed,cheap price tyre need,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2748,"Efficient, cost effective service",efficient cost effective service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2749,Thank you [REDACTED]. Cheapest online price for the tyres I needed with ease of booking for fitting at a local garage. Will definitely be using them again,thank,negative,cheap online price tyre need ease book fit local garage,positive,use,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750,The garage used was top notch,garage use top notch,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751,Tyre fitter did a great job,Tyre fitter do great job,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752,"Very Competitive Priced tyres ,Excellent Fitting service at A & S Tyres and wheels -Woodford",competitive Priced tyre Excellent Fitting service A S Tyres wheel,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2753,"Good service (although I did have to call after 12 to find out where my mobile service was - apparently ""morning"" appointments runs to 1300 with [REDACTED]....would have been good to know.......)",good service have call find mobile service morning appointment run redacted] good know,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754,Very quick and efficient service at the chosen garage.,quick efficient service choose garage,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2755,"Staff are very helpful at A & S ,Well done",staff helpful A S do,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2756,"Great service, competitive price, easy to order and delivered quickly. Tyres were fitted swiftly by a friendly and professional team at GVS Amesbury at the time specified.",great service competitive price easy order deliver,positive,tyre fit friendly professional team GVS Amesbury time specify,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2757,Easy to use website and good prices,easy use website good price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2758,Very easy good price,easy good price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759,Great prices and excellent service from fitter.,great price excellent service fitter,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2760,Very competitive price!,competitive price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2761,"Easy to use web site, the garage I used was very friendly and local, great job all round.",easy use web site garage use friendly local great job,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2762,Good price for well rated tyres,good price rate tyre,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2763,Great service as always. Prompt and curtious fitter who has worked on my cars in the past.,great service,positive,prompt curtious fitter work car past,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2764,"Easy to order, great value for money.",easy order great value money,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2765,Excellent service and wonderful work force nothing was too much trouble and thank you [REDACTED] 4 a quick and rapid response I will recommend yourselves and the garage that fitted my tyres to all my family friends and work colleagues keep up the excellent work,excellent service wonderful work force much trouble thank quick rapid response recommend yourself garage fit tyre family friend work colleague keep excellent work,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766,"Outstanding service, outstanding attention, outstanding quality, lovely people, squeezed me in on a Saturday (apparently they don’t normally), made me a cup of tea.......stunning. Will be back & would recommend.",Outstanding service outstanding attention outstanding quality lovely people squeeze Saturday make cup tea stunning,positive,recommend,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2767,"Very affordable, very easy",affordable easy,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2768,All went very smoothly it was quick and the staff were very professional,go quick staff professional,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769,"Money saving on tyres. Money saving, [REDACTED] find you the best deal",money save tyre,negative,money saving find good deal,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2770,"Good price, easy to book and no hassle. Enough said!",good price easy book hassle,positive,enough say,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2771,Very good service. Very good and honest service. Very easy to arrange on line.,good service,positive,good honest service,positive,easy arrange line,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772,"I liked the choice of tyre and the information available to make that choice safely and sensibly, with regard to performance in the areas that particularly concerned me, quietness and wet-grip.I also liked the choice of fitter and the flexibility that gave me, when I had to change my timetable at the last minute.",like choice tyre information available make choice regard performance area concern quietness wet grip,positive,like choice fitter flexibility give have change timetable last minute,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2773,A great service. Easy to find the industrial estate not so easy to find Buntingford Auto Services but when you do you get great polite friendly service. I will definitely be using them again.,great service,positive,easy find industrial estate easy find Buntingford Auto Services get great polite friendly service,positive,use,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2774,Tyre not delivered to fitting company. [REDACTED] told me for half a day it had been delivered before accepting their error.,Tyre deliver fitting company,positive,REDACTED tell day deliver accept error,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775,"Never been for a tyre change where you get a time. Arrived at the correct time, staff told me a time by when the work would be done. Went away, came back at stated time, car waiting to be driven away. Had no waiting around due to in accurate time estimates, no hassle from management trying to sell me additional services. Very happy. Would have been a ten except for late notification of time. Booked tyres early in week and the time noted at buying tyres just said a.m. for the Saturday Checked opening time at garage as 8.30 on the Saturday and arranged day based on getting to garage at 8.30. Was checking phone messages on Sat morning and noticed one from Friday evening confirming the time of 10.00 which messed up previously made arrangements. Can an actual time be given on the date of the tyre purchase rather than waiting until the evening prior to when the work is to be done?",tyre change get time,negative,arrive correct time staff tell time work do,negative,go come state time car wait drive,negative,waiting accurate time estimate hassle management try sell additional service,positive,happy,positive,late notification time,negative,Booked tyre week time note buy tyre say a.m. Saturday Checked opening time garage Saturday arrange day base get garage,positive,check phone message Sat morning notice Friday evening confirm time mess make arrangement,negative,actual time give date tyre purchase wait evening work do,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2776,Quick and easy to use. Found a car garage right beside my work. Very convenient,quick easy use,positive,find car garage work,positive,convenient,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777,Excellent service from Wincanton Motor Sport at a very competitive price.,excellent service Wincanton Motor Sport competitive price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2778,The price was very competitive and the service excellent,price competitive service excellent,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779,Easy and efficient service allowing customers to find competitively priced tyres. Choosing a garage at a date and time convenient to you - will definitely use again.,easy efficient service allow customer find price tyre,positive,choose garage date time convenient use,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780,competitive price with good options on location of fitting centres,competitive price good option location fitting centre,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781,Top quality convenient professional value for money service. Excellent professional service from [REDACTED] as usual. 3rd time repeat customer. Won’t go anywhere else. Mobile service all very convenient and a job done by somebody who you can trust not to scratch your alloys ! Thanks [REDACTED] !,top quality convenient professional value money service,positive,excellent professional service REDACTED usual,positive,3rd time repeat customer,negative,go,negative,mobile service convenient job do trust scratch alloy,positive,thank,positive,,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782,"Excellent service and price. First time I've used the site. I was a bit sceptical about using them. I ordered the tyres which were massively cheaper and they booked an appointment with the fitters. Really simple to use the site. Tyres were fitted two days later. I'm really happy with [REDACTED], they saved me a huge amount of money. Definitely will be using them again.",excellent service price,positive,first time use site,positive,bit sceptical use,negative,order tyre cheap book appointment fitter,negative,simple use site,negative,tyre fit day,negative,happy REDACTED save huge amount money,positive,use,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783,"As easy as they say it is, cheapest tyre fitted by the most local garage, in my case a few hundred yards from my house. I phoned the local garage for the same tyres and they quoted 20% more than [REDACTED].",say cheap tyre fit local garage case few yard house,positive,phone local garage same tyre quote % more,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784,"Excellent price, communication and service from mobile fitter",excellent price communication service mobile fitter,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785,It was easy to order and very straight forward to get to fitting,easy order get fitting,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786,Ordered and paid to get front tyres for my Mercedes. All booked in with local tyre fitting company. On the day before due to be fitted was told there was an issue and couldn't deliver the tyres. I was due to use my car to go on holiday the next day. When I asked for refund to go elsewhere was told it would take 3-5 days so was out of pocket and had to pay Someone else to do the tyres. Terrible service,order pay get front tyre Mercedes,negative,book local tyre fit company,positive,day due fit tell be issue deliver tyre,negative,due use car go holiday next day,negative,ask refund go tell take day pocket have pay do tyre,negative,terrible service,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787,Great service from Tudor Car services .The car was dropped off and the work was completed very swiftly.I would 100% recommend Back Circle Tyres,great service Tudor Car service car drop work complete,positive,% recommend Back Circle Tyres,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788,Wouldn't use again as the garage I got it fitted said the tyre was rubbish and could have had a better tyre fitted for the same price,use garage get fit say tyre rubbish have well tyre fit same price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789,"Ist Class Tyre Service. Excellent, Quality tyres at Good Prices with plenty of choice. Flexibility to chose your fitting provider and select your fitting date, all done from your armchair!!",Ist Class Tyre Service,negative,excellent Quality tyre Good price plenty choice,positive,flexibility chose fitting provider select fitting date do armchair,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790,Good service cheap tyres easy to use,good service cheap tyre easy use,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2791,"Easy to use, clear options, quick. Good price!",easy use clear option quick,positive,good price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792,"First class. Excellent price, excellent service, cannot be faulted.",first class,positive,excellent price excellent service fault,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793,"Website was easy to use, quick & a offered a really good price.The garage was great (Ferris Garage, outside Truro, Cornwall)",Website easy use quick offer good price,positive,garage great Ferris Garage Truro Cornwall,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794,"Quick easy and cheapest I could find, Ordered on line and the tyres were delivered to a local garage.",quick easy cheapest find order line tyre deliver local garage,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795,It’s quick easy and reasonably priced.,’ quick easy price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796,"Excellent service, arrived promptly & did the job very quickly. Very good, definitely recommended.",excellent service arrive do job,positive,good recommend,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797,"Great prices and well orgainised company. Our experience with [REDACTED].com was a positive one, from ordering to having our tyres fitted. We would definitely recommend to family and friends. Very competitive prices and well orgainised company to deal with.",great price orgainised company,positive,experience redacted].com positive one order have tyre fit,positive,recommend family friend,negative,competitive price orgainised company deal,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2798,Easy to use and book in with the garage with a total price given up front.,easy use book garage total price give front,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799,"Excellent service ,Great price ,Fitting service Brilliant, Have been using [REDACTED] for years,Never Let me Down .",excellent service great price Fitting service Brilliant use REDACTED year let,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800,"A good price delivered and fitted on time, easy to order what’s not to like.",good price deliver fit time easy order ’ like,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801,"Mcconnachys who fit the tyres are great as always. Slightly disappointed with [REDACTED] only in booking a time slot to be later told that they couldn't fulfil it and had to wait an extra week. Small things, but I can get past the frustration given the saving.",mcconnachy fit tyre great,positive,disappointed book time slot tell fulfil have wait extra week,negative,small thing get frustration give saving,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802,"Awesome price service. Awesome price, excellent service, I had them fitted at a local tyre shop. Had to wait for the tyre to come into stock but well worth the wait. You have a customer for life!",awesome price service,positive,awesome price excellent service have fit local tyre shop,positive,have wait tyre come stock worth wait,positive,have customer life,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803,my tyres were ordered for the Monday. it got cancelled to the Tuesday. cancelled to the Wednesday. I was going on holiday on the Saturday and desperately needed the tyre done for the long journey. I had no real explanation as to why it was 're arranged so much,tyre order Monday,negative,cancel Tuesday,negative,cancel Wednesday,negative,go holiday Saturday need tyre do long journey,negative,have real explanation arrange much,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804,"Great prices, very easy to find the correct tyres and arrange the fitting",great price easy find correct tyre arrange fitting,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805,A good selection of tyres at very competitive prices plus a very good group of fitting outlets.,good selection tyre competitive price good group fitting outlet,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806,Excellent price and mobile fitting service,excellent price mobile fitting service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807,"Chose to have my tire's fitted by a mobile fitter.He turned up on time, and did a great job.The process of choosing and purchasing the tires was great too.",choose have tire fit mobile fitter,negative,turn time do great job,positive,process choose purchase tire great,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808,"Everthing went smoothly nice friendly staff, didn't wait too long easy to follow website no complaints about anything.",everthing go nice friendly staff wait easy follow website complaint,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809,"good tyres nice and simple. Simple buying process, with good service, and great prices, what more could you ask for.I had these tyres fitted at ats, but bought through [REDACTED], meaning that the tyres were ~25% cheaper than buying from ats... Same staff, same service, just a couple of days wait.These tyres seem to handle everything I have asked of them. They seem nice and quiet, tyre life is yet to be seen",good tyre nice simple,positive,simple buying process good service great price more ask,positive,have tyre fit at buy REDACTED mean tyre ~25 % cheap buy at,negative,same staff same service couple day wait,negative,tyre seem handle ask,negative,seem nice quiet tyre life see,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810,"I have ordered with fitting in Ats euro master in Llandudno. I am happy with tyres but not with service. My alloy wheels been damaged and one of wheel cap came off straight away after change tyres. Staff said it was already broken, what I don't belive because before change I haven't got any problem with them. Anyway tyres Brighstone turanza are very good, highly recommend.",order fit ats euro master Llandudno,positive,happy tyre service,positive,alloy wheel damage wheel cap come change tyre,positive,Staff say break belive change get problem,negative,tyre,negative,brighstone turanza good recommend,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2811,Doesnt Get Any Better. Used [REDACTED] for some years and still they're competitive as ever.Convenient fitting by appointment at a local garage of the top brands at rational prices. Not sure how they could improve their offering it's pretty much as good as it can get.,get Better,positive,use year competitive,negative,convenient fitting appointment local garage top brand rational price,positive,sure improve offering good get,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812,Best price I could find for a branded tyre,good price find brand tyre,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813,"Easy to order, good choices, local fitting garage.",easy order good choice local fitting garage,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814,A wide choice of tyres to choose from and I every price range. Couldn’t be easier,wide choice tyre choose price range,negative,easy,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815,Amazing customer service. Had a puncture on a run flat tyre that I bought with them 6 weeks prior. No warranty on the tyre but the guy in sales was amazing and understood the difficulty. Helped me get a price on the same tyre that didn’t break the bank.,amazing customer service,positive,have puncture run flat tyre buy week,negative,warranty tyre guy sale amazing understand difficulty,positive,help get price same tyre break bank,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816,"[REDACTED] tyres are an excellent andhappy customer good prices. [REDACTED] tyres are an excellent and affordable price that the every day man can afford. I have always used [REDACTED] for my tyres, the fitting service that they use are professional and knowledgeable people",tyre excellent andhappy customer good price,positive,tyre excellent affordable price day man afford,positive,use REDACTED tyre fitting service use professional knowledgeable people,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817,"I’ve made a complaint and despite receiving an automated response to say that you will respond with an acknowledgment within one working day, you have failed to do so. In view of my initial complaint plus the fact that you’re unable to keep your promises with regards to the complaints procedure I would not recommend your company.",make complaint receive automate response say respond acknowledgment work day fail do,negative,view initial complaint fact ’re unable keep promise regard complaint procedure recommend company,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818,"Waiting Game. Artived at the ATS garage on time for my alloted 4pm appointment, bearing in mind you need to be there 5 minutes before. I waited 3/4 of an hour and they finally fitted my tyres, which took another 30 minutes. Why bother scheduling an appointment if they just keep you waiting for almost an hour?!?",Waiting Game,negative,artive ATS garage time allot pm appointment bear mind need minute,negative,wait hour fit tyre take minute,negative,bother schedule appointment keep wait hour,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819,I got a puncture that could not be repaired on a run flat tyre. 4 new tyres had just been bought and the guy I spoke to in sales was really amazing and truely understanding of my issue.,get puncture repair run flat tyre,negative,new tyre buy guy speak sale amazing understanding issue,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820,"Was originally quoted I would have the tyre fitted on the 9th August, wasn’t fitted until the 13th. If the tyre wasn’t Available until the 13th, if I knew this when I purchased it this would not have been an issue.",quote have tyre fit 9th August fit 13th,positive,tyre available 13th know purchase issue,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821,"The best tyres, at discount prices!",good tyre discount price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822,Very good site and prices but some non-technically/mechanically minded folks may find the process daunting simply due to change,good site price non - minded folk find process daunt due change,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823,"The entire transaction was smooth and efficient. Good value, too!",entire transaction smooth efficient,positive,good value,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2824,"Competitive prices, easy to book and find a local garage",competitive price easy book find local garage,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825,Excellent customer service from SK8 tyres. Despite me losing the locking wheel nut key.,excellent customer service SK8 tyre,positive,lose locking wheel nut key,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2826,"Good price and excellent service, with the tyres fitted when you want without having to hang around.",good price excellent service tyre fit want have hang,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2827,Poor service from garage. second time buying tyres and the experience this time was not as good. Ordering online all fine but garage failed to change tyres in the morning even though I had specified a morning time slot. I had something planned for the afternoon and needed to be on the road. Garage just provided excuses about being unusually busy. Not acceptable.,poor service garage,negative,second time buy tyre experience time good,positive,order fine garage fail change tyre morning specify morning time slot,negative,have plan afternoon need road,negative,Garage provide excuse busy,positive,acceptable,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2828,"Very good price, good communication. great options locally for fitting tyres.trouble free. Highly recommend .",good price good communication,positive,great option fitting tyres.trouble free,positive,recommend,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2829,"Needed tyres on holiday. Half hour to nearest town. Checked [REDACTED]. Good prices, easy to use and book at a place 5 mins down the road. Great communication. Everything was perfect and I wouldn't hesitate to recommend.",need tyre holiday,negative,half hour near town,negative,check REDACTED,negative,good price easy use book place min road,positive,great communication,positive,perfect hesitate recommend,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2830,Very efficient and professional customer service.,efficient professional customer service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2831,Used [REDACTED] for the 1st time and the mobile fitting service. Was scheduled for Friday AM and I ended up getting a call around 10am advising my appointment was being cancelled so not a great experience. Managed to get rescheduled for the Monday which was ok at the office. Guys where great when they came however they didn’t put my dust caps back on after fitting the tyre so I’ve had to buy new dust caps.,use REDACTED 1st time mobile fitting service,positive,schedule Friday AM end get call am advise appointment cancel great experience,negative,manage reschedule Monday ok office,positive,guy great come put dust cap fit tyre,positive,have buy new dust cap,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2832,"So simple to use, unbeatable prices, great choice of tyres for all budgets. Would use again and again 😁",simple use unbeatable price great choice tyre budget,positive,use 😁,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2833,easy to use website sensible pricing plenty of choice on availability friendliness and reliability of fitter,easy use website sensible pricing plenty choice availability friendliness reliability fitter,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2834,"Fast, efficient service at very competitive price.",efficient service competitive price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835,Changing your order. Made a mistake not ordering run flats for an X3 - got an email pointing this out which was very helpful - then called to change my order which was also handled well.Happy with the service I received,change order,negative,make mistake order run flat X3 get email point helpful call change order handle,positive,happy service receive,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836,Efficient and excellent customer service,efficient excellent customer service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2837,Very easy to order - great value,easy order great value,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2838,Initial booking time was cancelled but second booking progressed smoothly.,initial booking time cancel second booking progress,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2839,"great price and the fitting partner, AWR were excellent too",great price fitting partner AWR excellent,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2840,"Easy to order, kept updated on order and Tweedale Motors gave excellent service",easy order update order Tweedale Motors give excellent service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2841,Great value & service from the fitting partner in water orton.,great value service fitting partner water orton,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2842,Easy to select correct tyre and local garage to fit them on website. Anthony Luff and co were friendly and helpful. I would use them again.,easy select correct tyre local garage fit website,positive,Anthony Luff co friendly helpful,positive,use,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2843,"Price and ease of making the arrangements to purchase the right tyre, first time. Wiltshire Tyres were also excellent in fitting the tyres when and where I needed them. Thank you",price ease make arrangement purchase right tyre first time,positive,Wiltshire Tyres excellent fit tyre need,positive,thank,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
